project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.1111111111111111,false,PACKAGE,9,5,0.4444444444444444,false,335,9,0.013743735308787013,0,PACKAGE,.,.,org.antlr.v4.parse,parse,0,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.0035460992907801444,0,PACKAGE,.,.,org,org,9263,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,0,1.0,false,0,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr,antlr,9269,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,2,1.0,false,35,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.typescript,typescript,7291,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,1.0,false,PACKAGE,1,1,0.5,false,6,1,0.005053191489361706,0,PACKAGE,.,.,org.antlr.v4.test.runtime.python,python,7329,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,6,1.0,false,561,5,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.mojo.antlr4,antlr4,6322,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.15254237288135594,false,PACKAGE,3,12,0.7349397590361446,false,1077,61,0.008067454114954534,0,PACKAGE,.,.,org.antlr.v4.codegen.model,model,194,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.16666666666666666,false,PACKAGE,1,6,0.8648648648648649,false,1065,12,0.0036968085106383005,0,PACKAGE,.,.,org.antlr.v4.gui,gui,5354,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,3,1.0,false,0,1,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.mojo,mojo,6394,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,0,1,1.0,false,333,2,0.0035460992907801444,0,PACKAGE,.,.,org.antlr.v4.test.runtime.java.api.perf,perf,6469,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,16,11,0.38636363636363635,false,433,12,0.022356090611495728,0,PACKAGE,.,.,org.antlr.v4,v4,6478,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,1,3,0.8,false,595,10,0.004117567853818241,0,PACKAGE,.,.,org.antlr.v4.codegen.target,target,4504,container
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,0.0,false,PACKAGE,4,9,0.825,false,920,9,0.007297970720415272,0,PACKAGE,.,.,org.antlr.v4.semantics,semantics,6559,container
