project,versionId,versionIndex,versionDate,edgeId,edgeLabel,from,fromId,to,toId
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27970,affects,cyclicDep,27967,org.antlr.v4.codegen.model,194
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27971,affects,cyclicDep,27967,org.antlr.v4.codegen,3951
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27972,affects,cyclicDep,27967,org.antlr.v4.analysis,4773
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27973,affects,cyclicDep,27967,org.antlr.v4,6478
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27990,affects,cyclicDep,27987,org.antlr.v4.codegen.model.decl,1627
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27991,affects,cyclicDep,27987,org.antlr.v4.codegen.model.chunk,1619
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27992,affects,cyclicDep,27987,org.antlr.v4.codegen.model,194
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27993,affects,cyclicDep,27987,org.antlr.v4.codegen,3951
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27994,affects,cyclicDep,27987,org.antlr.v4.analysis,4773
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,27995,affects,cyclicDep,27987,org.antlr.v4,6478
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28000,affects,cyclicDep,27997,org.antlr.v4.codegen.model.decl,1627
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28001,affects,cyclicDep,27997,org.antlr.v4.codegen.model.chunk,1619
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28002,affects,cyclicDep,27997,org.antlr.v4.codegen.model,194
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28003,affects,cyclicDep,27997,org.antlr.v4.codegen,3951
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28008,affects,cyclicDep,28005,org.antlr.v4.codegen.model.decl,1627
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28009,affects,cyclicDep,28005,org.antlr.v4.codegen.model.chunk,1619
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28010,affects,cyclicDep,28005,org.antlr.v4.codegen.model,194
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28034,affects,cyclicDep,28031,org.antlr.v4.runtime.dfa,6125
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28035,affects,cyclicDep,28031,org.antlr.v4.runtime.atn,6133
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28036,affects,cyclicDep,28031,org.antlr.v4.runtime,5539
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28037,affects,cyclicDep,28031,org.antlr.v4.runtime.misc,6141
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28061,affects,cyclicDep,28058,org.antlr.v4.runtime.tree,3751
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28062,affects,cyclicDep,28058,org.antlr.v4.runtime,5539
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28063,affects,cyclicDep,28058,org.antlr.v4.runtime.misc,6141
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28074,affects,cyclicDep,28071,org.antlr.v4.runtime.tree.pattern,3580
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28075,affects,cyclicDep,28071,org.antlr.v4.runtime,5539
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28076,affects,cyclicDep,28071,org.antlr.v4.runtime.misc,6141
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28081,affects,cyclicDep,28078,org.antlr.v4.runtime.tree.xpath,3938
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28082,affects,cyclicDep,28078,org.antlr.v4.runtime.tree.pattern,3580
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28083,affects,cyclicDep,28078,org.antlr.v4.runtime,5539
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28088,affects,cyclicDep,28085,org.antlr.v4.runtime.tree.xpath,3938
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,28089,affects,cyclicDep,28085,org.antlr.v4.runtime.tree.pattern,3580
