project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,135.98847018437496,7.316073540462454,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.codegen.model, org.antlr.v4.analysis, org.antlr.v4, org.antlr.v4.codegen]",10226;10349;10418;10306,0.0,,0.0,0.0,0.0,4.0,1.3333333333333333,9,3.2717284242135455E-4,1,5.173245212120474,CIRCLE,4,691,2,0.7071067811865476,0.7453559924999299,0.0,0,cyclicDep,27967,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,161.55559248068732,8.381902163649071,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.codegen.model, org.antlr.v4.codegen.model.decl, org.antlr.v4.codegen.model.chunk, org.antlr.v4.analysis, org.antlr.v4, org.antlr.v4.codegen]",10241;10324;10226;10349;10418;10416,0.0,,0.0,0.0,0.0,4.666666666666667,2.2,18,2.657103494521382E-4,1,5.9268998591584525,CIRCLE,6,743,2,1.1055415967851332,1.1075498483890767,0.0,0,cyclicDep,27987,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,147.17222626632997,7.4428193967992,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.codegen.model, org.antlr.v4.codegen.model.decl, org.antlr.v4.codegen.model.chunk, org.antlr.v4.codegen]",10241;10324;10226;10234,0.0,,0.0,0.0,0.0,5.25,2.8333333333333335,10,2.0256351579852163E-4,1,5.262868066623483,CIRCLE,4,782,2,0.82915619758885,1.0671873729054748,0.0,0,cyclicDep,27997,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,66.05994804973375,5.238894655329958,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.codegen.model, org.antlr.v4.codegen.model.decl, org.antlr.v4.codegen.model.chunk]",10241;10324;10222,0.0,,0.0,0.0,0.0,5.666666666666667,3.0,5,1.5630731897091376E-4,1,5.238894655329958,CIRCLE,3,159,1,0.4714045207910317,1.4142135623730951,0.0,0,cyclicDep,28005,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,133.54612836103126,12.779680099487923,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.runtime, org.antlr.v4.runtime.dfa, org.antlr.v4.runtime.misc, org.antlr.v4.runtime.atn]",10332;10221;10302;10348,0.0,,0.0,0.0,0.0,4.75,1.5,11,0.0034384877367752793,1,5.715246686631254,CIRCLE,4,546,5,0.4330127018922193,0.7637626158259734,0.0,0,cyclicDep,28031,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,73.67402525798764,9.701792335792536,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.runtime, org.antlr.v4.runtime.tree, org.antlr.v4.runtime.misc]",10232;10302;10365,0.0,,0.0,0.0,0.0,4.666666666666667,2.0,5,0.0030865061506895265,1,5.601332416691669,CIRCLE,3,173,3,0.4714045207910317,0.0,0.0,0,cyclicDep,28058,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,31.32210271053368,5.625615717439067,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.runtime, org.antlr.v4.runtime.misc, org.antlr.v4.runtime.tree.pattern]",10404;10302;10336,0.0,,0.0,0.0,0.0,5.0,2.3333333333333335,5,0.0029529078089906703,1,5.625615717439067,CIRCLE,3,31,1,0.816496580927726,1.247219128924647,0.0,0,cyclicDep,28071,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,63.74441050825268,9.398600579277554,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.runtime, org.antlr.v4.runtime.tree.pattern, org.antlr.v4.runtime.tree.xpath]",10422;10404;10263,0.0,,0.0,0.0,0.0,5.333333333333333,1.3333333333333333,4,0.0018138853682303556,1,5.426284574451669,CIRCLE,3,138,3,0.9428090415820634,0.4714045207910317,0.0,0,cyclicDep,28078,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,22.806202311635026,5.2321016401242515,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.runtime, org.antlr.v4.runtime.misc, org.antlr.v4.runtime.tree.pattern, org.antlr.v4.runtime.tree.xpath]",10422;10404;10302;10415,0.0,,0.0,0.0,0.0,5.25,2.3333333333333335,8,0.002270949773746427,1,5.2321016401242515,CIRCLE,4,19,1,0.82915619758885,1.247219128924647,0.0,0,cyclicDep,28085,smell
antlr,832b202476a199028f50eb5517349090ed627166,1,2023-07-24T21:10:08.000,159.98767075780285,7.92056995536998,0.0,CONTAINER,PACKAGE,"[org.antlr.v4.codegen.model, org.antlr.v4.codegen.model.decl, org.antlr.v4.tool, org.antlr.v4.codegen.model.chunk, org.antlr.v4.analysis, org.antlr.v4, org.antlr.v4.codegen]",10258;10241;10324;10226;10349;10418;10276,0.0,,0.0,0.0,0.0,4.571428571428571,2.238095238095238,26,3.142981205548469E-4,1,5.600688726304543,CIRCLE,7,816,2,1.049781318335648,0.9712418121129114,0.0,0,cyclicDep,28093,smell
